"Ticker","FY","EV_EBITDA","NetDebt_EBITDA","ROIC","Earnings_Yield","FCF_Yield"
"AAPL","2024",26.6170333620722,0.661780322439311,0.443070811742792,0.0268187983272092,0.0311307607492175
"MSFT","2024",25.8837569638145,0.366982685382192,0.226067754110338,0.02596848037097,0.0218243545152732
"NVDA","2024",43.4522187561476,0.106118090099205,0.512868157267306,0.0192948022097995,0.0175189801919016
"AMD","2024",38.2717383035375,-0.299543552681628,0.0248928586740463,0.00809140476845565,0.0118585182621181
"ADBE","2024",28.7941816011059,-0.195676762598969,0.254079938040222,0.0241034572754927,0.0339182463531393
"GOOGL","2024",17.2384426193184,0.0147347740667976,0.257989604130709,0.0429324918534055,0.0312025793286042
"META","2024",17.1376829043694,0.0595216170173581,0.250522726146762,0.0420305602613023,0.0364444588590304
"NFLX","2024",14.9353296266009,0.38724340933195,0.201976900324926,0.0227558564412603,0.01808066466169
"DIS","2024",14.9520302139586,2.97457105748855,0.0536933124766699,0.028376039596332,0.0488476514290035
"AMZN","2024",18.9782536041675,0.420958688365707,0.133158492658578,0.0257861059657933,0.0143092693752253
"TSLA","2024",87.6094968724504,-0.17106336687517,0.058332157999611,0.00552252334424061,0.00277365443137807
"SBUX","2024",18.7243510668164,3.16071027512633,0.163914689965299,0.0339200650474451,0.0299263920428428
"NKE","2024",20.4528134171908,0.292382948986723,0.185139989706639,0.0395153121141191,0.0458724246068642
"WMT","2024",13.6415897273527,1.41419305189094,0.120799071614516,0.0348654562869899,0.0339865707600597
"KO","2024",19.1683214263135,2.20692925333502,0.104598765753767,0.0396267548099485,0.0176719447421659
"COST","2024",32.480320708052,-0.134529886382348,0.203738140298769,0.0185969618290832,0.0167339839778733
"JPM","2024",11.6928843879112,3.39475300834749,0.0453120604584445,0.0848755725862303,-0.0609839502572678
"V","2024",22.1458540111758,0.346254542612637,0.286466598665822,0.0353897402018791,0.0335075932529872
"BAC","2024",22.3275349044302,11.5110517444264,0.0225440773604518,0.0797759076758819,-0.025889240272967
"GS","2024",29.9542845735726,20.9169753234884,0.0161730686007282,0.0759860372622625,-0.0814523906013171
"JNJ","2024",14.4300626286268,0.505588959283322,0.137516701730307,0.0407636437170366,0.0575026459998181
"UNH","2024",18.5758633708505,1.83758370138196,0.123177030723365,0.0306525923070739,0.0440584466308896
"PFE","2024",11.9278380316655,3.63821923098141,0.092755890446419,0.0533720486987335,0.0654506357795567
"ABBV","2024",25.2627967806841,4.17954393024816,0.0885230971942335,0.0136089782354964,0.0567263440615642
"BA","2024",-20.2494835926265,-5.2800366060923,-0.171667856623594,-0.103204068425424,-0.125745297214966
"FDX","2024",8.66765550239234,2.87246963562753,0.061905663788153,0.0687655917365702,0.0497919408187218
"LMT","2024",15.152733892922,2.01758166969147,0.163308824812957,0.0460796454893217,0.0456565003189737
"XOM","2024",6.56131903807069,0.25481851291075,0.0732952433686855,0.0728474749936118,0.0664365511254091
"CVX","2024",6.11033157975159,0.38767981489162,0.0842823466855136,0.0673671538493228,0.0573847156168514
"VZ","2024",7.00363647841091,3.45431781836546,0.0688926467518403,0.103783650986241,0.112178352791138
